사고유형대분류,사고유형중분류,구분,시간대,값
차량단독,도로이탈,부상[명],14~16시,99
차량단독,도로이탈,부상[명],16~18시,83
차량단독,도로이탈,부상[명],18~20시,78
차량단독,도로이탈,부상[명],20~22시,73
차량단독,도로이탈,부상[명],22~24시,54
차량단독,전도전복,사고[건],00~02시,128
차량단독,전도전복,사고[건],02~04시,121
차량단독,전도전복,사고[건],04~06시,93
차량단독,전도전복,사고[건],06~08시,108
차량단독,전도전복,사고[건],08~10시,109
차량단독,전도전복,사고[건],10~12시,116
차량단독,전도전복,사고[건],12~14시,122
차량단독,전도전복,사고[건],14~16시,191
차량단독,전도전복,사고[건],16~18시,179
차량단독,전도전복,사고[건],18~20시,139
차량단독,전도전복,사고[건],20~22시,123
차량단독,전도전복,사고[건],22~24시,129
차량단독,전도전복,사망[명],00~02시,11
차량단독,전도전복,사망[명],02~04시,15
차량단독,전도전복,사망[명],04~06시,16
차량단독,전도전복,사망[명],06~08시,16
차량단독,전도전복,사망[명],08~10시,13
차량단독,전도전복,사망[명],10~12시,20
차량단독,전도전복,사망[명],12~14시,21
차량단독,전도전복,사망[명],14~16시,31
차량단독,전도전복,사망[명],16~18시,29
차량단독,전도전복,사망[명],18~20시,25
차량단독,전도전복,사망[명],20~22시,15
차량단독,전도전복,사망[명],22~24시,14
차량단독,전도전복,부상[명],00~02시,174
차량단독,전도전복,부상[명],02~04시,163
차량단독,전도전복,부상[명],04~06시,131
차량단독,전도전복,부상[명],06~08시,177
차량단독,전도전복,부상[명],08~10시,174
차량단독,전도전복,부상[명],10~12시,167
차량단독,전도전복,부상[명],12~14시,153
차량단독,전도전복,부상[명],14~16시,207
차량단독,전도전복,부상[명],16~18시,227
차량단독,전도전복,부상[명],18~20시,179
차량단독,전도전복,부상[명],20~22시,142
차량단독,전도전복,부상[명],22~24시,154
차량단독,기타,사고[건],00~02시,251
차량단독,기타,사고[건],02~04시,197
차량단독,기타,사고[건],04~06시,169
차량단독,기타,사고[건],06~08시,233
차량단독,기타,사고[건],08~10시,429
차량단독,기타,사고[건],10~12시,417
차량단독,기타,사고[건],12~14시,450
차량단독,기타,사고[건],14~16시,506
차량단독,기타,사고[건],16~18시,564
차량단독,기타,사고[건],18~20시,573
차량단독,기타,사고[건],20~22시,368
차량단독,기타,사고[건],22~24시,346
차량단독,기타,사망[명],00~02시,14
차량단독,기타,사망[명],02~04시,11
차량단독,기타,사망[명],04~06시,14
차량단독,기타,사망[명],06~08시,8
차량단독,기타,사망[명],08~10시,6
차량단독,기타,사망[명],10~12시,16
차량단독,기타,사망[명],12~14시,18
차량단독,기타,사망[명],14~16시,28
차량단독,기타,사망[명],16~18시,26
차량단독,기타,사망[명],18~20시,9
차량단독,기타,사망[명],20~22시,9
차량단독,기타,사망[명],22~24시,9
차량단독,기타,부상[명],00~02시,268
차량단독,기타,부상[명],02~04시,224
차량단독,기타,부상[명],04~06시,190
차량단독,기타,부상[명],06~08시,267
차량단독,기타,부상[명],08~10시,485
차량단독,기타,부상[명],10~12시,461
차량단독,기타,부상[명],12~14시,469
차량단독,기타,부상[명],14~16시,553
차량단독,기타,부상[명],16~18시,628
차량단독,기타,부상[명],18~20시,640
차량단독,기타,부상[명],20~22시,403
차량단독,기타,부상[명],22~24시,406
철길건널목,기타,사고[건],00~02시,-
철길건널목,기타,사고[건],02~04시,1
철길건널목,기타,사고[건],04~06시,-
철길건널목,기타,사고[건],06~08시,-
철길건널목,기타,사고[건],08~10시,-
철길건널목,기타,사고[건],10~12시,-
철길건널목,기타,사고[건],12~14시,-
철길건널목,기타,사고[건],14~16시,-
철길건널목,기타,사고[건],16~18시,1
철길건널목,기타,사고[건],18~20시,-
철길건널목,기타,사고[건],20~22시,-
철길건널목,기타,사고[건],22~24시,-
철길건널목,기타,사망[명],00~02시,-
철길건널목,기타,사망[명],02~04시,0
철길건널목,기타,사망[명],04~06시,-
철길건널목,기타,사망[명],06~08시,-
철길건널목,기타,사망[명],08~10시,-
철길건널목,기타,사망[명],10~12시,-
철길건널목,기타,사망[명],12~14시,-
철길건널목,기타,사망[명],14~16시,-
철길건널목,기타,사망[명],16~18시,0
철길건널목,기타,사망[명],18~20시,-
철길건널목,기타,사망[명],20~22시,-
철길건널목,기타,사망[명],22~24시,-
철길건널목,기타,부상[명],00~02시,-
철길건널목,기타,부상[명],02~04시,1
철길건널목,기타,부상[명],04~06시,-
철길건널목,기타,부상[명],06~08시,-
철길건널목,기타,부상[명],08~10시,-
철길건널목,기타,부상[명],10~12시,-
철길건널목,기타,부상[명],12~14시,-
철길건널목,기타,부상[명],14~16시,-
철길건널목,기타,부상[명],16~18시,1
철길건널목,기타,부상[명],18~20시,-
철길건널목,기타,부상[명],20~22시,-
철길건널목,기타,부상[명],22~24시,-
